Lag,Autocorrelation
1,0.6656596355391177
2,0.33131927107828557
3,-0.003021093382539089
4,-0.003024108445795116
5,-0.0030271235090511424
6,-0.00303013857230717
7,-0.003033153635563197
8,-0.003036168698819224
9,-0.0030391837620752505
10,-0.003042198825331278
11,-0.003045213888587305
12,-0.003048228951843332
13,-0.003051244015099359
14,-0.0030542590783553866
15,-0.003057274141611413
16,-0.00306028920486744
17,-0.003063304268123467
18,-0.0030663193313794947
19,-0.0030693343946355213
20,-0.0030723494578915483
