Lag,Autocorrelation
1,-0.0010030070150310693
2,-0.0010040100220461002
3,-0.0010050130290611312
4,-0.0010060160360761622
5,-0.0010070190430911934
6,-0.0010080220501062244
7,-0.0010090250571212554
8,-0.0010100280641362864
9,-0.0010110310711513174
10,-0.0010120340781663484
11,-0.0010130370851813794
12,-0.0010140400921964104
13,-0.0010150430992114413
14,-0.0010160461062264723
15,-0.0010170491132415035
16,-0.0010180521202565345
17,-0.0010190551272715653
18,-0.0010200581342865963
19,-0.0010210611413016273
20,-0.0010220641483166585
