Lag,Autocorrelation
1,0.6656596355391255
2,0.3313192710782904
3,-0.0030210933825391005
4,-0.0030241084457951276
5,-0.0030271235090511546
6,-0.0030301385723071816
7,-0.003033153635563208
8,-0.0030361686988192352
9,-0.0030391837620752623
10,-0.0030421988253312893
11,-0.003045213888587316
12,-0.003048228951843343
13,-0.00305124401509937
14,-0.003054259078355397
15,-0.003057274141611424
16,-0.0030602892048674506
17,-0.0030633042681234776
18,-0.0030663193313795046
19,-0.0030693343946355317
20,-0.0030723494578915583
