Configuration,BP mean x̄,BP-Standard Deviation σ,BP-Confidence interval (95%)
4p4r,0.04244673322930707,0.07622847335558934,"(0.01, 0.07)"
5p5r,0.0,0.0,"(0.00, 0.00)"
4p5r,0.023608549266444002,0.06369988120034796,"(-0.00, 0.05)"
5p4r,0.009082594740489478,0.018833931844675265,"(0.00, 0.02)"
5p4r,0.07662777604605998,0.0929524687394258,"(0.04, 0.11)"
4p5r,0.004906204906204906,0.01239816645396242,"(0.00, 0.01)"
5p5r,0.024766804832594302,0.042527177341745555,"(0.01, 0.04)"
4p4r,0.005371819187608661,0.013592312906560674,"(0.00, 0.01)"
