Configuration,BP mean x̄,BP-Standard Deviation σ,BP-Confidence interval (95%)
4p4r,0.070986161328189,0.049416025395859896,"(0.05, 0.09)"
5p5r,0.007334525939177103,0.01881342806125829,"(0.00, 0.01)"
4p5r,0.011531385281385281,0.022244182225379362,"(0.00, 0.02)"
5p4r,0.08804543180996668,0.131481365477795,"(0.04, 0.14)"
5p4r,0.06300745509273127,0.06441224816488725,"(0.04, 0.09)"
4p5r,0.022923835417441557,0.044222012610198126,"(0.01, 0.04)"
5p5r,0.013055704458143483,0.024464487875972208,"(0.00, 0.02)"
4p4r,0.12993741654543514,0.24441067678623743,"(0.04, 0.22)"
