Configuration,QL mean x̄,QL-Standard Deviation σ,QL-Confidence interval (95%)
4p4r,0.05950950950950952,0.06602546375730253,"(0.03, 0.08)"
5p5r,0.006756756756756757,0.01836468584295781,"(-0.00, 0.01)"
4p5r,0.043843843843843835,0.06899402576315157,"(0.02, 0.07)"
5p4r,0.014814814814814814,0.025543380279201493,"(0.01, 0.02)"
5p4r,0.012162162162162163,0.04111821036645756,"(-0.00, 0.03)"
4p5r,0.049999999999999996,0.07043269175156287,"(0.02, 0.08)"
5p5r,0.00945945945945946,0.02636545237656587,"(-0.00, 0.02)"
4p4r,0.025575575575575576,0.03289392708186871,"(0.01, 0.04)"
