Configuration,BP mean x̄,BP-Standard Deviation σ,BP-Confidence interval (95%)
4p4r,0.13169298064272247,0.09154278962534958,"(0.10, 0.17)"
5p5r,0.00735082398223702,0.0136715725988859,"(0.00, 0.01)"
4p5r,0.001282051282051282,0.0055883319788982986,"(-0.00, 0.00)"
5p4r,0.005413325413325413,0.01083657525642715,"(0.00, 0.01)"
5p4r,0.14269785060075915,0.11268603733016125,"(0.10, 0.19)"
4p5r,0.008948661139698876,0.01934018747430845,"(0.00, 0.02)"
5p5r,0.01364031239031239,0.026231967101471108,"(0.00, 0.02)"
4p4r,0.005263157894736842,0.015789473684210523,"(-0.00, 0.01)"
