Configuration,BP mean x̄,BP-Standard Deviation σ,BP-Confidence interval (95%)
4p4r,0.09204350978049029,0.1380098094070494,"(0.04, 0.14)"
5p5r,0.0023863636363636366,0.007168103994504616,"(-0.00, 0.01)"
4p5r,0.012990890688259111,0.03748175747498064,"(-0.00, 0.03)"
5p4r,0.012537875618370975,0.022369560351865568,"(0.00, 0.02)"
5p4r,0.058853347279388624,0.04341790243285338,"(0.04, 0.08)"
4p5r,0.005210196779964222,0.01573024298557078,"(-0.00, 0.01)"
5p5r,0.01611562690510059,0.03995437538506691,"(0.00, 0.03)"
4p4r,0.006936396936396935,0.01710432182593796,"(0.00, 0.01)"
