Lag,Autocorrelation
1,0.6656596355391309
2,0.33131927107829356
3,-0.0030210933825391187
4,-0.0030241084457951458
5,-0.003027123509051173
6,-0.0030301385723072
7,-0.003033153635563227
8,-0.0030361686988192534
9,-0.0030391837620752805
10,-0.0030421988253313075
11,-0.0030452138885873345
12,-0.0030482289518433616
13,-0.0030512440150993886
14,-0.003054259078355415
15,-0.003057274141611442
16,-0.0030602892048674692
17,-0.0030633042681234963
18,-0.0030663193313795233
19,-0.00306933439463555
20,-0.003072349457891577
