Lag,Autocorrelation
1,0.6656596355391083
2,0.33131927107828
3,-0.0030210933825390064
4,-0.003024108445795033
5,-0.00302712350905106
6,-0.003030138572307087
7,-0.0030331536355631137
8,-0.0030361686988191407
9,-0.0030391837620751673
10,-0.0030421988253311943
11,-0.0030452138885872213
12,-0.0030482289518432492
13,-0.0030512440150992763
14,-0.003054259078355303
15,-0.00305727414161133
16,-0.0030602892048673565
17,-0.0030633042681233835
18,-0.0030663193313794105
19,-0.003069334394635437
20,-0.003072349457891464
